Title,"HE student enrolments by HE provider, domicile, level of study, mode of study and country of HE provider",,,,,,
Location,UK,,,,,,
Academic years,2021/22,,,,,,
Data source,HESA,,,,,,
Data collection,"051,054",,,,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sb265/figure-7,,,,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sb265/figure-7.csv,,,,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,,,,
Code page,Unicode UTF-8,,,,,,
Disclaimer,Please note that this data includes rounded totals.  Caution must be taken when importing into a pivot table so as not to double count.,,,,,,
2021/22 total,2862620,,,,,,
,,,,,,,
Last updated,Jan-23,,,,,,
,,,,,,,
UKPRN,HE provider,Level of study,Mode of study,Country of HE provider,Region of HE provider,Domicile,Number
10004740,Northern College of Acupuncture,All undergraduate,Full-time,All,All,England,95
10004740,Northern College of Acupuncture,All undergraduate,Full-time,All,All,Wales,0
10004740,Northern College of Acupuncture,All undergraduate,Full-time,All,All,Scotland,5
10004740,Northern College of Acupuncture,All undergraduate,Full-time,All,All,Northern Ireland,0
10004740,Northern College of Acupuncture,All undergraduate,Full-time,All,All,Other UK,0
10004740,Northern College of Acupuncture,All undergraduate,Full-time,All,All,Total UK,100
10004740,Northern College of Acupuncture,All undergraduate,Full-time,All,All,Total Non-UK,0
10004740,Northern College of Acupuncture,All undergraduate,Full-time,All,All,Not known,0
10004740,Northern College of Acupuncture,All undergraduate,Full-time,All,All,Total,100
10004740,Northern College of Acupuncture,All undergraduate,Full-time,All,All,European Union,0
10004740,Northern College of Acupuncture,All undergraduate,Full-time,All,Yorkshire and The Humber,Non-European Union,0
10004740,Northern College of Acupuncture,All undergraduate,Full-time,All,Yorkshire and The Humber,England,95
10004740,Northern College of Acupuncture,All undergraduate,Full-time,All,Yorkshire and The Humber,Wales,0
10004740,Northern College of Acupuncture,All undergraduate,Full-time,All,Yorkshire and The Humber,Scotland,5
10004740,Northern College of Acupuncture,All undergraduate,Full-time,All,Yorkshire and The Humber,Northern Ireland,0
10004740,Northern College of Acupuncture,All undergraduate,Full-time,All,Yorkshire and The Humber,Other UK,0
10004740,Northern College of Acupuncture,All undergraduate,Full-time,All,Yorkshire and The Humber,Total UK,100
10004740,Northern College of Acupuncture,All undergraduate,Full-time,All,Yorkshire and The Humber,Total Non-UK,0
10004740,Northern College of Acupuncture,All undergraduate,Full-time,All,Yorkshire and The Humber,Not known,0
10004740,Northern College of Acupuncture,All undergraduate,Full-time,All,Yorkshire and The Humber,Total,100
10004740,Northern College of Acupuncture,All undergraduate,Full-time,All,Yorkshire and The Humber,European Union,0
10004740,Northern College of Acupuncture,All undergraduate,Full-time,England,All,Non-European Union,0
10004740,Northern College of Acupuncture,All undergraduate,Full-time,England,All,England,95
10004740,Northern College of Acupuncture,All undergraduate,Full-time,England,All,Wales,0
10004740,Northern College of Acupuncture,All undergraduate,Full-time,England,All,Scotland,5
10004740,Northern College of Acupuncture,All undergraduate,Full-time,England,All,Northern Ireland,0
10004740,Northern College of Acupuncture,All undergraduate,Full-time,England,All,Other UK,0
10004740,Northern College of Acupuncture,All undergraduate,Full-time,England,All,Total UK,100
10004740,Northern College of Acupuncture,All undergraduate,Full-time,England,All,Total Non-UK,0
10004740,Northern College of Acupuncture,All undergraduate,Full-time,England,All,Not known,0
10004740,Northern College of Acupuncture,All undergraduate,Full-time,England,All,Total,100
10004740,Northern College of Acupuncture,All undergraduate,Full-time,England,All,European Union,0
10004740,Northern College of Acupuncture,All undergraduate,Full-time,England,Yorkshire and The Humber,Non-European Union,0
10004740,Northern College of Acupuncture,All undergraduate,Full-time,England,Yorkshire and The Humber,England,95
10004740,Northern College of Acupuncture,All undergraduate,Full-time,England,Yorkshire and The Humber,Wales,0
10004740,Northern College of Acupuncture,All undergraduate,Full-time,England,Yorkshire and The Humber,Scotland,5
10004740,Northern College of Acupuncture,All undergraduate,Full-time,England,Yorkshire and The Humber,Northern Ireland,0
10004740,Northern College of Acupuncture,All undergraduate,Full-time,England,Yorkshire and The Humber,Other UK,0
10004740,Northern College of Acupuncture,All undergraduate,Full-time,England,Yorkshire and The Humber,Total UK,100
10004740,Northern College of Acupuncture,All undergraduate,Full-time,England,Yorkshire and The Humber,Total Non-UK,0
10004740,Northern College of Acupuncture,All undergraduate,Full-time,England,Yorkshire and The Humber,Not known,0
10004740,Northern College of Acupuncture,All undergraduate,Full-time,England,Yorkshire and The Humber,Total,100
10004740,Northern College of Acupuncture,All undergraduate,Full-time,England,Yorkshire and The Humber,European Union,0
10004740,Northern College of Acupuncture,All undergraduate,Part-time,All,All,Non-European Union,0
10004740,Northern College of Acupuncture,All undergraduate,Part-time,All,All,England,10
10004740,Northern College of Acupuncture,All undergraduate,Part-time,All,All,Wales,0
10004740,Northern College of Acupuncture,All undergraduate,Part-time,All,All,Scotland,0
10004740,Northern College of Acupuncture,All undergraduate,Part-time,All,All,Northern Ireland,0
10004740,Northern College of Acupuncture,All undergraduate,Part-time,All,All,Other UK,0
10004740,Northern College of Acupuncture,All undergraduate,Part-time,All,All,Total UK,10
10004740,Northern College of Acupuncture,All undergraduate,Part-time,All,All,Total Non-UK,0
10004740,Northern College of Acupuncture,All undergraduate,Part-time,All,All,Not known,0
10004740,Northern College of Acupuncture,All undergraduate,Part-time,All,All,Total,10
10004740,Northern College of Acupuncture,All undergraduate,Part-time,All,All,European Union,0
10004740,Northern College of Acupuncture,All undergraduate,Part-time,All,Yorkshire and The Humber,Non-European Union,0
10004740,Northern College of Acupuncture,All undergraduate,Part-time,All,Yorkshire and The Humber,England,10
10004740,Northern College of Acupuncture,All undergraduate,Part-time,All,Yorkshire and The Humber,Wales,0
10004740,Northern College of Acupuncture,All undergraduate,Part-time,All,Yorkshire and The Humber,Scotland,0
10004740,Northern College of Acupuncture,All undergraduate,Part-time,All,Yorkshire and The Humber,Northern Ireland,0
10004740,Northern College of Acupuncture,All undergraduate,Part-time,All,Yorkshire and The Humber,Other UK,0
10004740,Northern College of Acupuncture,All undergraduate,Part-time,All,Yorkshire and The Humber,Total UK,10
10004740,Northern College of Acupuncture,All undergraduate,Part-time,All,Yorkshire and The Humber,Total Non-UK,0
10004740,Northern College of Acupuncture,All undergraduate,Part-time,All,Yorkshire and The Humber,Not known,0
10004740,Northern College of Acupuncture,All undergraduate,Part-time,All,Yorkshire and The Humber,Total,10
10004740,Northern College of Acupuncture,All undergraduate,Part-time,All,Yorkshire and The Humber,European Union,0
10004740,Northern College of Acupuncture,All undergraduate,Part-time,England,All,Non-European Union,0
10004740,Northern College of Acupuncture,All undergraduate,Part-time,England,All,England,10
10004740,Northern College of Acupuncture,All undergraduate,Part-time,England,All,Wales,0
10004740,Northern College of Acupuncture,All undergraduate,Part-time,England,All,Scotland,0
10004740,Northern College of Acupuncture,All undergraduate,Part-time,England,All,Northern Ireland,0
10004740,Northern College of Acupuncture,All undergraduate,Part-time,England,All,Other UK,0
10004740,Northern College of Acupuncture,All undergraduate,Part-time,England,All,Total UK,10
10004740,Northern College of Acupuncture,All undergraduate,Part-time,England,All,Total Non-UK,0
10004740,Northern College of Acupuncture,All undergraduate,Part-time,England,All,Not known,0
10004740,Northern College of Acupuncture,All undergraduate,Part-time,England,All,Total,10
10004740,Northern College of Acupuncture,All undergraduate,Part-time,England,All,European Union,0
10004740,Northern College of Acupuncture,All undergraduate,Part-time,England,Yorkshire and The Humber,Non-European Union,0
10004740,Northern College of Acupuncture,All undergraduate,Part-time,England,Yorkshire and The Humber,England,10
10004740,Northern College of Acupuncture,All undergraduate,Part-time,England,Yorkshire and The Humber,Wales,0
10004740,Northern College of Acupuncture,All undergraduate,Part-time,England,Yorkshire and The Humber,Scotland,0
10004740,Northern College of Acupuncture,All undergraduate,Part-time,England,Yorkshire and The Humber,Northern Ireland,0
10004740,Northern College of Acupuncture,All undergraduate,Part-time,England,Yorkshire and The Humber,Other UK,0
10004740,Northern College of Acupuncture,All undergraduate,Part-time,England,Yorkshire and The Humber,Total UK,10
10004740,Northern College of Acupuncture,All undergraduate,Part-time,England,Yorkshire and The Humber,Total Non-UK,0
10004740,Northern College of Acupuncture,All undergraduate,Part-time,England,Yorkshire and The Humber,Not known,0
10004740,Northern College of Acupuncture,All undergraduate,Part-time,England,Yorkshire and The Humber,Total,10
10004740,Northern College of Acupuncture,All undergraduate,Part-time,England,Yorkshire and The Humber,European Union,0
10001282,University of Northumbria at Newcastle,All,All,All,All,Non-European Union,6930
10001282,University of Northumbria at Newcastle,All,All,All,All,England,23455
10001282,University of Northumbria at Newcastle,All,All,All,All,Wales,175
10001282,University of Northumbria at Newcastle,All,All,All,All,Scotland,235
10001282,University of Northumbria at Newcastle,All,All,All,All,Northern Ireland,640
10001282,University of Northumbria at Newcastle,All,All,All,All,Other UK,55
10001282,University of Northumbria at Newcastle,All,All,All,All,Total UK,24560
10001282,University of Northumbria at Newcastle,All,All,All,All,Total Non-UK,8010
10001282,University of Northumbria at Newcastle,All,All,All,All,Not known,0
10001282,University of Northumbria at Newcastle,All,All,All,All,Total,32570
10001282,University of Northumbria at Newcastle,All,All,All,All,European Union,1080
10001282,University of Northumbria at Newcastle,All,All,All,North East,Non-European Union,6930
10001282,University of Northumbria at Newcastle,All,All,All,North East,England,23455
10001282,University of Northumbria at Newcastle,All,All,All,North East,Wales,175
10001282,University of Northumbria at Newcastle,All,All,All,North East,Scotland,235
10001282,University of Northumbria at Newcastle,All,All,All,North East,Northern Ireland,640
10001282,University of Northumbria at Newcastle,All,All,All,North East,Other UK,55
10001282,University of Northumbria at Newcastle,All,All,All,North East,Total UK,24560
10001282,University of Northumbria at Newcastle,All,All,All,North East,Total Non-UK,8010
10001282,University of Northumbria at Newcastle,All,All,All,North East,Not known,0
10001282,University of Northumbria at Newcastle,All,All,All,North East,Total,32570
10001282,University of Northumbria at Newcastle,All,All,All,North East,European Union,1080
10001282,University of Northumbria at Newcastle,All,All,England,All,Non-European Union,6930
10001282,University of Northumbria at Newcastle,All,All,England,All,England,23455
10001282,University of Northumbria at Newcastle,All,All,England,All,Wales,175
10001282,University of Northumbria at Newcastle,All,All,England,All,Scotland,235
10001282,University of Northumbria at Newcastle,All,All,England,All,Northern Ireland,640
10001282,University of Northumbria at Newcastle,All,All,England,All,Other UK,55
10001282,University of Northumbria at Newcastle,All,All,England,All,Total UK,24560
10001282,University of Northumbria at Newcastle,All,All,England,All,Total Non-UK,8010
10001282,University of Northumbria at Newcastle,All,All,England,All,Not known,0
10001282,University of Northumbria at Newcastle,All,All,England,All,Total,32570
10001282,University of Northumbria at Newcastle,All,All,England,All,European Union,1080
10001282,University of Northumbria at Newcastle,All,All,England,North East,Non-European Union,6930
10001282,University of Northumbria at Newcastle,All,All,England,North East,England,23455
10001282,University of Northumbria at Newcastle,All,All,England,North East,Wales,175
10001282,University of Northumbria at Newcastle,All,All,England,North East,Scotland,235
10001282,University of Northumbria at Newcastle,All,All,England,North East,Northern Ireland,640
10001282,University of Northumbria at Newcastle,All,All,England,North East,Other UK,55
10001282,University of Northumbria at Newcastle,All,All,England,North East,Total UK,24560
10001282,University of Northumbria at Newcastle,All,All,England,North East,Total Non-UK,8010
10001282,University of Northumbria at Newcastle,All,All,England,North East,Not known,0
10001282,University of Northumbria at Newcastle,All,All,England,North East,Total,32570
10001282,University of Northumbria at Newcastle,All,All,England,North East,European Union,1080
10001282,University of Northumbria at Newcastle,All,Full-time,All,All,Non-European Union,6830
10001282,University of Northumbria at Newcastle,All,Full-time,All,All,England,18470
10001282,University of Northumbria at Newcastle,All,Full-time,All,All,Wales,75
10001282,University of Northumbria at Newcastle,All,Full-time,All,All,Scotland,145
10001282,University of Northumbria at Newcastle,All,Full-time,All,All,Northern Ireland,585
10001282,University of Northumbria at Newcastle,All,Full-time,All,All,Other UK,50
10001282,University of Northumbria at Newcastle,All,Full-time,All,All,Total UK,19325
10001282,University of Northumbria at Newcastle,All,Full-time,All,All,Total Non-UK,7790
10001282,University of Northumbria at Newcastle,All,Full-time,All,All,Not known,0
10001282,University of Northumbria at Newcastle,All,Full-time,All,All,Total,27115
10001282,University of Northumbria at Newcastle,All,Full-time,All,All,European Union,960
10001282,University of Northumbria at Newcastle,All,Full-time,All,North East,Non-European Union,6830
10001282,University of Northumbria at Newcastle,All,Full-time,All,North East,England,18470
10001282,University of Northumbria at Newcastle,All,Full-time,All,North East,Wales,75
10001282,University of Northumbria at Newcastle,All,Full-time,All,North East,Scotland,145
10001282,University of Northumbria at Newcastle,All,Full-time,All,North East,Northern Ireland,585
10001282,University of Northumbria at Newcastle,All,Full-time,All,North East,Other UK,50
10001282,University of Northumbria at Newcastle,All,Full-time,All,North East,Total UK,19325
10001282,University of Northumbria at Newcastle,All,Full-time,All,North East,Total Non-UK,7790
10001282,University of Northumbria at Newcastle,All,Full-time,All,North East,Not known,0
10001282,University of Northumbria at Newcastle,All,Full-time,All,North East,Total,27115
10001282,University of Northumbria at Newcastle,All,Full-time,All,North East,European Union,960
10001282,University of Northumbria at Newcastle,All,Full-time,England,All,Non-European Union,6830
10001282,University of Northumbria at Newcastle,All,Full-time,England,All,England,18470
10001282,University of Northumbria at Newcastle,All,Full-time,England,All,Wales,75
10001282,University of Northumbria at Newcastle,All,Full-time,England,All,Scotland,145
10001282,University of Northumbria at Newcastle,All,Full-time,England,All,Northern Ireland,585
10001282,University of Northumbria at Newcastle,All,Full-time,England,All,Other UK,50
10001282,University of Northumbria at Newcastle,All,Full-time,England,All,Total UK,19325
10001282,University of Northumbria at Newcastle,All,Full-time,England,All,Total Non-UK,7790
10001282,University of Northumbria at Newcastle,All,Full-time,England,All,Not known,0
10001282,University of Northumbria at Newcastle,All,Full-time,England,All,Total,27115
10001282,University of Northumbria at Newcastle,All,Full-time,England,All,European Union,960
10001282,University of Northumbria at Newcastle,All,Full-time,England,North East,Non-European Union,6830
10001282,University of Northumbria at Newcastle,All,Full-time,England,North East,England,18470
10001282,University of Northumbria at Newcastle,All,Full-time,England,North East,Wales,75
10001282,University of Northumbria at Newcastle,All,Full-time,England,North East,Scotland,145
10001282,University of Northumbria at Newcastle,All,Full-time,England,North East,Northern Ireland,585
10001282,University of Northumbria at Newcastle,All,Full-time,England,North East,Other UK,50
10001282,University of Northumbria at Newcastle,All,Full-time,England,North East,Total UK,19325
10001282,University of Northumbria at Newcastle,All,Full-time,England,North East,Total Non-UK,7790
10001282,University of Northumbria at Newcastle,All,Full-time,England,North East,Not known,0
10001282,University of Northumbria at Newcastle,All,Full-time,England,North East,Total,27115
10001282,University of Northumbria at Newcastle,All,Full-time,England,North East,European Union,960
10001282,University of Northumbria at Newcastle,All,Part-time,All,All,Non-European Union,100
10001282,University of Northumbria at Newcastle,All,Part-time,All,All,England,4985
10001282,University of Northumbria at Newcastle,All,Part-time,All,All,Wales,100
10001282,University of Northumbria at Newcastle,All,Part-time,All,All,Scotland,90
10001282,University of Northumbria at Newcastle,All,Part-time,All,All,Northern Ireland,55
10001282,University of Northumbria at Newcastle,All,Part-time,All,All,Other UK,5
10001282,University of Northumbria at Newcastle,All,Part-time,All,All,Total UK,5235
10001282,University of Northumbria at Newcastle,All,Part-time,All,All,Total Non-UK,220
10001282,University of Northumbria at Newcastle,All,Part-time,All,All,Not known,0
10001282,University of Northumbria at Newcastle,All,Part-time,All,All,Total,5455
10001282,University of Northumbria at Newcastle,All,Part-time,All,All,European Union,120
10001282,University of Northumbria at Newcastle,All,Part-time,All,North East,Non-European Union,100
10001282,University of Northumbria at Newcastle,All,Part-time,All,North East,England,4985
10001282,University of Northumbria at Newcastle,All,Part-time,All,North East,Wales,100
10001282,University of Northumbria at Newcastle,All,Part-time,All,North East,Scotland,90
10001282,University of Northumbria at Newcastle,All,Part-time,All,North East,Northern Ireland,55
10001282,University of Northumbria at Newcastle,All,Part-time,All,North East,Other UK,5
10001282,University of Northumbria at Newcastle,All,Part-time,All,North East,Total UK,5235
10001282,University of Northumbria at Newcastle,All,Part-time,All,North East,Total Non-UK,220
10001282,University of Northumbria at Newcastle,All,Part-time,All,North East,Not known,0
10001282,University of Northumbria at Newcastle,All,Part-time,All,North East,Total,5455
10001282,University of Northumbria at Newcastle,All,Part-time,All,North East,European Union,120
10001282,University of Northumbria at Newcastle,All,Part-time,England,All,Non-European Union,100
10001282,University of Northumbria at Newcastle,All,Part-time,England,All,England,4985
10001282,University of Northumbria at Newcastle,All,Part-time,England,All,Wales,100
10001282,University of Northumbria at Newcastle,All,Part-time,England,All,Scotland,90
10001282,University of Northumbria at Newcastle,All,Part-time,England,All,Northern Ireland,55
10001282,University of Northumbria at Newcastle,All,Part-time,England,All,Other UK,5
10001282,University of Northumbria at Newcastle,All,Part-time,England,All,Total UK,5235
10001282,University of Northumbria at Newcastle,All,Part-time,England,All,Total Non-UK,220
10001282,University of Northumbria at Newcastle,All,Part-time,England,All,Not known,0
10001282,University of Northumbria at Newcastle,All,Part-time,England,All,Total,5455
10001282,University of Northumbria at Newcastle,All,Part-time,England,All,European Union,120
10001282,University of Northumbria at Newcastle,All,Part-time,England,North East,Non-European Union,100
10001282,University of Northumbria at Newcastle,All,Part-time,England,North East,England,4985
10001282,University of Northumbria at Newcastle,All,Part-time,England,North East,Wales,100
10001282,University of Northumbria at Newcastle,All,Part-time,England,North East,Scotland,90
10001282,University of Northumbria at Newcastle,All,Part-time,England,North East,Northern Ireland,55
10001282,University of Northumbria at Newcastle,All,Part-time,England,North East,Other UK,5
10001282,University of Northumbria at Newcastle,All,Part-time,England,North East,Total UK,5235
10001282,University of Northumbria at Newcastle,All,Part-time,England,North East,Total Non-UK,220
10001282,University of Northumbria at Newcastle,All,Part-time,England,North East,Not known,0
10001282,University of Northumbria at Newcastle,All,Part-time,England,North East,Total,5455
10001282,University of Northumbria at Newcastle,All,Part-time,England,North East,European Union,120
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,England,North East,Non-European Union,130
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,England,North East,England,250
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,England,North East,Wales,5
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,England,North East,Scotland,15
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,England,North East,Northern Ireland,5
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,England,North East,Other UK,0
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,England,North East,Total UK,270
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,England,North East,Total Non-UK,155
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,England,North East,Not known,0
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,England,North East,Total,425
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,England,North East,European Union,25
10001282,University of Northumbria at Newcastle,Postgraduate (research),Part-time,England,North East,Non-European Union,5
10001282,University of Northumbria at Newcastle,Postgraduate (research),Part-time,England,North East,England,155
10001282,University of Northumbria at Newcastle,Postgraduate (research),Part-time,England,North East,Wales,0
10001282,University of Northumbria at Newcastle,Postgraduate (research),Part-time,England,North East,Scotland,5
10001282,University of Northumbria at Newcastle,Postgraduate (research),Part-time,England,North East,Northern Ireland,0
10001282,University of Northumbria at Newcastle,Postgraduate (research),Part-time,England,North East,Other UK,0
10001282,University of Northumbria at Newcastle,Postgraduate (research),Part-time,England,North East,Total UK,160
10001282,University of Northumbria at Newcastle,Postgraduate (research),Part-time,England,North East,Total Non-UK,60
10001282,University of Northumbria at Newcastle,Postgraduate (research),Part-time,England,North East,Not known,0
10001282,University of Northumbria at Newcastle,Postgraduate (research),Part-time,England,North East,Total,220
10001282,University of Northumbria at Newcastle,Postgraduate (research),Part-time,England,North East,European Union,55
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,England,North East,Non-European Union,130
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,England,North East,England,405
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,England,North East,Wales,5
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,England,North East,Scotland,15
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,England,North East,Northern Ireland,5
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,England,North East,Other UK,0
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,England,North East,Total UK,430
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,England,North East,Total Non-UK,215
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,England,North East,Not known,0
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,England,North East,Total,645
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,England,North East,European Union,80
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,All,North East,Non-European Union,130
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,All,North East,England,405
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,All,North East,Wales,5
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,All,North East,Scotland,15
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,All,North East,Northern Ireland,5
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,All,North East,Other UK,0
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,All,North East,Total UK,430
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,All,North East,Total Non-UK,215
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,All,North East,Not known,0
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,All,North East,Total,645
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,All,North East,European Union,80
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,All,North East,Non-European Union,130
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,All,North East,England,250
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,All,North East,Wales,5
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,All,North East,Scotland,15
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,All,North East,Northern Ireland,5
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,All,North East,Other UK,0
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,All,North East,Total UK,270
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,All,North East,Total Non-UK,155
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,All,North East,Not known,0
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,All,North East,Total,425
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,All,North East,European Union,25
10001282,University of Northumbria at Newcastle,Postgraduate (research),Part-time,All,North East,Non-European Union,5
10001282,University of Northumbria at Newcastle,Postgraduate (research),Part-time,All,North East,England,155
10001282,University of Northumbria at Newcastle,Postgraduate (research),Part-time,All,North East,Wales,0
10001282,University of Northumbria at Newcastle,Postgraduate (research),Part-time,All,North East,Scotland,5
10001282,University of Northumbria at Newcastle,Postgraduate (research),Part-time,All,North East,Northern Ireland,0
10001282,University of Northumbria at Newcastle,Postgraduate (research),Part-time,All,North East,Other UK,0
10001282,University of Northumbria at Newcastle,Postgraduate (research),Part-time,All,North East,Total UK,160
10001282,University of Northumbria at Newcastle,Postgraduate (research),Part-time,All,North East,Total Non-UK,60
10001282,University of Northumbria at Newcastle,Postgraduate (research),Part-time,All,North East,Not known,0
10001282,University of Northumbria at Newcastle,Postgraduate (research),Part-time,All,North East,Total,220
10001282,University of Northumbria at Newcastle,Postgraduate (research),Part-time,All,North East,European Union,55
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,All,All,Non-European Union,130
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,All,All,England,405
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,All,All,Wales,5
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,All,All,Scotland,15
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,All,All,Northern Ireland,5
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,All,All,Other UK,0
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,All,All,Total UK,430
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,All,All,Total Non-UK,215
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,All,All,Not known,0
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,All,All,Total,645
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,All,All,European Union,80
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,England,All,Non-European Union,130
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,England,All,England,405
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,England,All,Wales,5
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,England,All,Scotland,15
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,England,All,Northern Ireland,5
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,England,All,Other UK,0
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,England,All,Total UK,430
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,England,All,Total Non-UK,215
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,England,All,Not known,0
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,England,All,Total,645
10001282,University of Northumbria at Newcastle,Postgraduate (research),All,England,All,European Union,80
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,All,All,Non-European Union,130
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,All,All,England,250
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,All,All,Wales,5
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,All,All,Scotland,15
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,All,All,Northern Ireland,5
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,All,All,Other UK,0
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,All,All,Total UK,270
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,All,All,Total Non-UK,155
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,All,All,Not known,0
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,All,All,Total,425
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,All,All,European Union,25
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,England,All,Non-European Union,130
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,England,All,England,250
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,England,All,Wales,5
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,England,All,Scotland,15
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,England,All,Northern Ireland,5
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,England,All,Other UK,0
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,England,All,Total UK,270
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,England,All,Total Non-UK,155
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,England,All,Not known,0
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,England,All,Total,425
10001282,University of Northumbria at Newcastle,Postgraduate (research),Full-time,England,All,European Union,25
10001282,University of Northumbria at Newcastle,Postgraduate (research),Part-time,All,All,Non-European Union,5
10001282,University of Northumbria at Newcastle,Postgraduate (research),Part-time,All,All,England,155
10001282,University of Northumbria at Newcastle,Postgraduate (research),Part-time,All,All,Wales,0
10001282,University of Northumbria at Newcastle,Postgraduate (research),Part-time,All,All,Scotland,5
10001282,University of Northumbria at Newcastle,Postgraduate (research),Part-time,All,All,Northern Ireland,0
10001282,University of Northumbria at Newcastle,Postgraduate (research),Part-time,All,All,Other UK,0
10001282,University of Northumbria at Newcastle,Postgraduate (research),Part-time,All,All,Total UK,160
10001282,University of Northumbria at Newcastle,Postgraduate (research),Part-time,All,All,Total Non-UK,60
